operation,object_count,iteration,duration_ms,avg_cpu_pct,free_memory_mb,status,notes
create,10,1,4.631,69.100,167.297,"SUCCESS",""
create,10,2,3.024,69.100,163.695,"SUCCESS",""
create,10,3,3.158,69.100,156.859,"SUCCESS",""
create,10,4,3.683,69.100,158.266,"SUCCESS",""
create,10,5,3.598,69.100,161.805,"SUCCESS",""
create,50,1,2.604,86.900,164.734,"SUCCESS",""
create,50,2,2.259,86.900,164.734,"SUCCESS",""
create,50,3,5.650,86.900,164.734,"SUCCESS",""
create,50,4,3.019,86.900,164.734,"SUCCESS",""
create,50,5,2.562,86.900,164.734,"SUCCESS",""
create,100,1,2.584,80.100,169.891,"SUCCESS",""
create,100,2,2.116,80.100,168.594,"SUCCESS",""
create,100,3,2.007,105.300,168.594,"SUCCESS",""
create,100,4,2.050,105.300,168.594,"SUCCESS",""
create,100,5,1.827,105.300,168.594,"SUCCESS",""
create,250,1,2.295,137.000,164.445,"SUCCESS",""
create,250,2,1.835,137.000,159.406,"SUCCESS",""
create,250,3,3.004,137.000,159.406,"SUCCESS",""
create,250,4,2.549,137.000,159.406,"SUCCESS",""
create,250,5,2.525,137.000,159.406,"SUCCESS",""
create,500,1,2.072,161.600,176.484,"SUCCESS",""
create,500,2,1.606,161.600,173.836,"SUCCESS",""
create,500,3,1.614,161.600,166.641,"SUCCESS",""
create,500,4,1.802,157.550,161.469,"SUCCESS",""
create,500,5,1.985,153.500,159.500,"SUCCESS",""
create,1000,1,2.284,169.950,152.430,"SUCCESS",""
create,1000,2,1.301,168.400,149.258,"SUCCESS",""
create,1000,3,1.674,168.400,145.477,"SUCCESS",""
create,1000,4,2.894,168.400,145.406,"SUCCESS",""
create,1000,5,2.332,168.400,147.063,"SUCCESS",""
update,10,1,2.511,66.700,145.078,"SUCCESS",""
update,10,2,2.102,66.700,146.414,"SUCCESS",""
update,10,3,1.896,66.700,147.289,"SUCCESS",""
update,10,4,1.723,78.650,144.594,"SUCCESS",""
update,10,5,1.353,90.600,142.797,"SUCCESS",""
update,50,1,1.991,93.400,142.797,"SUCCESS",""
update,50,2,1.532,93.400,142.797,"SUCCESS",""
update,50,3,1.154,93.400,142.797,"SUCCESS",""
update,50,4,1.063,93.400,142.797,"SUCCESS",""
update,50,5,1.188,93.400,142.797,"SUCCESS",""
update,100,1,1.670,117.700,158.070,"SUCCESS",""
update,100,2,1.059,117.700,155.656,"SUCCESS",""
update,100,3,0.926,117.700,155.656,"SUCCESS",""
update,100,4,0.960,117.700,155.656,"SUCCESS",""
update,100,5,0.959,117.700,155.656,"SUCCESS",""
update,250,1,5.896,141.550,161.930,"SUCCESS",""
update,250,2,1.658,144.600,161.625,"SUCCESS",""
update,250,3,2.686,144.600,158.750,"SUCCESS",""
update,250,4,4.781,144.600,158.750,"SUCCESS",""
update,250,5,2.038,144.600,158.750,"SUCCESS",""
update,500,1,3.260,164.500,169.227,"SUCCESS",""
update,500,2,1.604,164.500,168.828,"SUCCESS",""
update,500,3,1.632,164.500,168.828,"SUCCESS",""
update,500,4,1.565,150.600,168.828,"SUCCESS",""
update,500,5,1.338,150.600,168.828,"SUCCESS",""
update,1000,1,3.033,183.700,125.555,"SUCCESS",""
update,1000,2,1.699,183.700,128.469,"SUCCESS",""
update,1000,3,2.715,176.950,126.828,"SUCCESS",""
update,1000,4,1.225,170.200,133.805,"SUCCESS",""
update,1000,5,0.828,170.200,133.203,"SUCCESS",""
delete,10,1,3.500,68.000,152.102,"SUCCESS",""
delete,10,2,2.236,68.000,153.563,"SUCCESS",""
delete,10,3,2.300,68.000,157.320,"SUCCESS",""
delete,10,4,1.872,68.000,154.969,"SUCCESS",""
delete,10,5,1.860,68.000,154.969,"SUCCESS",""
delete,50,1,2.221,100.800,154.969,"SUCCESS",""
delete,50,2,2.097,100.800,154.969,"SUCCESS",""
delete,50,3,2.502,100.800,154.969,"SUCCESS",""
delete,50,4,2.193,100.800,154.969,"SUCCESS",""
delete,50,5,1.917,100.800,154.969,"SUCCESS",""
delete,100,1,2.005,88.000,146.992,"SUCCESS",""
delete,100,2,1.592,88.000,154.414,"SUCCESS",""
delete,100,3,2.221,88.000,162.781,"SUCCESS",""
delete,100,4,2.037,88.000,162.781,"SUCCESS",""
delete,100,5,1.516,100.400,162.781,"SUCCESS",""
delete,250,1,3.643,158.800,162.391,"SUCCESS",""
delete,250,2,2.274,158.800,164.484,"SUCCESS",""
delete,250,3,2.379,158.800,164.484,"SUCCESS",""
delete,250,4,4.588,158.800,164.484,"SUCCESS",""
delete,250,5,2.189,158.800,164.484,"SUCCESS",""
delete,500,1,2.794,162.300,157.844,"SUCCESS",""
delete,500,2,1.631,162.300,156.508,"SUCCESS",""
delete,500,3,1.873,162.300,157.844,"SUCCESS",""
delete,500,4,1.959,162.300,156.461,"SUCCESS",""
delete,500,5,3.229,162.300,155.156,"SUCCESS",""
delete,1000,1,2.115,177.600,143.133,"SUCCESS",""
delete,1000,2,1.558,178.450,141.328,"SUCCESS",""
delete,1000,3,1.147,179.300,138.773,"SUCCESS",""
delete,1000,4,1.167,179.300,138.281,"SUCCESS",""
delete,1000,5,1.171,179.300,138.281,"SUCCESS",""
