operation,object_count,total_runs,successes,failures,avg_duration_ms,min_duration_ms,max_duration_ms,avg_cpu_pct,avg_free_memory_mb
create,10,5,5,0,3.619,3.024,4.631,69.100,161.584
create,50,5,5,0,3.219,2.259,5.650,86.900,164.734
create,100,5,5,0,2.117,1.827,2.584,95.220,168.853
create,250,5,5,0,2.442,1.835,3.004,137.000,160.414
create,500,5,5,0,1.816,1.606,2.072,159.170,167.586
create,1000,5,5,0,2.097,1.301,2.894,168.710,147.927
delete,10,5,5,0,2.354,1.860,3.500,68.000,154.584
delete,50,5,5,0,2.186,1.917,2.502,100.800,154.969
delete,100,5,5,0,1.874,1.516,2.221,90.480,157.950
delete,250,5,5,0,3.015,2.189,4.588,158.800,164.066
delete,500,5,5,0,2.297,1.631,3.229,162.300,156.763
delete,1000,5,5,0,1.432,1.147,2.115,178.790,139.959
update,10,5,5,0,1.917,1.353,2.511,73.870,145.234
update,50,5,5,0,1.386,1.063,1.991,93.400,142.797
update,100,5,5,0,1.115,0.926,1.670,117.700,156.139
update,250,5,5,0,3.412,1.658,5.896,143.990,159.961
update,500,5,5,0,1.880,1.338,3.260,158.940,168.908
update,1000,5,5,0,1.900,0.828,3.033,176.950,129.572
